ReviewTitle,ReviewBody,ReviewStar,Product,division
"Poor Battery and Connectivity
","I am pleased to write a review and i will talk both about pros and cons:Pros:1. Good Bass2. Sturdy3. Great look4. Good noise cancellationCons:1. Forget buying this if you are planning to use it for gaming like battle royale games, There is an issue with the latency or bluetooth lag, You will hear the noise 3 seconds after you fire the gun.2. Disspointed battery backup, max is 1 or 1.5. hours if you continously use it at low volume.3. Wrong place where the charging port is installed, difficult to plugin or plug out.
",1,boAt Rockerz 255,negative
"Best quality for the price
","Really like the base and sound quality for this price. It's good to listen to music. I have a Bose 300 QC but I'm using this on a day to day basis as carrying QC wherever I go is not practical. I going this headphone is  quite enough for my music need . The microphone is working as expected.The only issue is that the headphone doesnt announce the battery percentage. However my OnePlus 6t shows headphone battery when connected. The headphone give the annoying message ""battery is low"" from 20% onwards.
",5,boAt Rockerz 255,positive
"Not the worth
","I had brought the piece after reading lot of reviews etc. when i purchased and started using it turned off and said battery low .. Thats fine as initial product charged battery full and started using it ..It started reconnecting most of time and sound started disappearing . I checking the range on the manual which said 10m and i saw when i placed my mobile in shirts pocket it was perfect and working and when i moved it to pants pocket it disconnected and reconnected . and it kept happening with 100% charge and was totally waste of time and value for this .Tried many times and got to know its very small range one and doesnt come with proper range.
",1,boAt Rockerz 255,negative
"Please don't buy this it's been only three months and it's one earphone is not working properly .
","Very bad it's been only 3 months and it's one earphone is not working . One year warranty is useless no service centre service is there for help only waste of money .
",1,boAt Rockerz 255,negative
"Beast
","This Bluetooth  earphone  is just a beast  ! It has amazing  bass ! Sound quality  is just mind blowing  ! This product  is value for money  ! Suggeste you to buy these if you are looking  for amazing  earphones  under rs 2500 . These earphones  have a very good range and provide  a usage time of  7 hrs on a charge of 45 to 60 mins .
",5,boAt Rockerz 255,positive
"One earphone is not working properly
","Sound quality is worst
",1,boAt Rockerz 255,negative
"Returning the item
","Got the delivery today(12/12/2018)Initial Impressions:The Audio was really good..nice bass..comfortable fit.Audio 4/5But after few hours of usage the right earphone stopped working..Audio output through right earphone is not as loud as left earphone.
",1,boAt Rockerz 255,negative
"Not great sound performance but overall ok
","Hi, i bought this for 1500 from amazon but to tell you did not found out this worth 1500. Bought this after seeing 4 star rating from amazon users but seriously not worth 4 stars.1. Bass may be there but the sound is not powerfull and sharp. I tried to switch between plug in ear phone and boat wireless and found that the sound is not great although bass may be there.2. As some user has mentioned the mic is not good which i also feel3. If you arr looking for style then it doesn't look stylish. The earphone wires should come from behind not front as it looks odd.4. Noise cancellation is good.5. Ear comfort is ok.If i have to buy again i would rather by wireless earphone at 600 bucks from metro station amd may feel disappointed rather than spending 1500 buck and feeling disappointed.This product should be in the range of 600  to 800 maxStill if you need something desperately wireless and at some affordable cost then its ok.Have heard from some colleagues that you may find some good wireless earphone from Ali express
",3,boAt Rockerz 255,neutral
"Go for it....
","Good Bluetooth in the ear headphones....Sound quality is decent....may seem a little thin, takes time to get used to, but definitely not bad or poor.Battery life too is decent( around 5-6 hrs) when connected.Build quality is good, though you need to b a little careful.All in all a VALUE FOR MONEY deal ( especially sweet since I got it at an attractive deal price of INR 999 during the Great Indian Amazon Sale).
",4,boAt Rockerz 255,positive
"Not accepting the charging within two days of purchase
","Let me tell you about the product in Details,1. Sound Quality is good. It is harmless for ears. Not too loud but traffic noise can't disturb you while listening music.2. Look is awesome but wires are too lengthy.3. Battery Backup 'WAS' awesome. Six to seven hours after 1 or 1.30 hours chargingBUT4. Product is not CHARGING AFTER ONLY TWO DAYS OF PURCHASE. And it is not acceptable. That's why the rating is ONE (lesser than one is not available though)I will change my ratings and review too but after the replacement or refund against this product.And one more thing, do not put too deep to this thing in your ears, it might be painful after few minutes.RegardsSIDDHARTH
",1,boAt Rockerz 255,negative
"not working within 1 month
","Product not working within 1 month from purchase
",1,boAt Rockerz 255,negative
"It is just Best among the other worsts. Just a Earphone wirthout jack. Nothing more to expect.
","It was priced around 2.7K initially. But I definitely know it doesn't worth it. I got it in an offer for Rs.1.1K. Still it is not worth the price. I was just looking for some stuff, without having to plug in the 3.5mm jack to my mobile - and it serves that purpose. Other than that, it is not for music lovers who wants to listen to music for long hours. in 30 minutes it starts hurting and I started to develop ear/headache if I continue to listen more than 1 hr. Definitely not suitable for laptops - it keeps disconnecting frequently for no reason. Recently it starts doing the same with my mobiles as well. Battery is not great with daily 1 hours of hearing battery lasts max 3 days. The string is annoyingly long, it dangles upto your stomach. I have seen earphones with reasonable length, this one is awkwardly designed. You cannot wear them without getting attention from onlookers.If you are ready to spend another 1000 bucks go for good brands like JBL, Senheiser etc. If you want to cut cost, well this is the Best among the other worsts in the market
",3,boAt Rockerz 255,neutral
"Value for money
","Just got this and I must say that the build quality is great. Coming to the sound it has really good bass. Can't comment of the battery yet as I just got it. I will update the review later after checking the battery backup.Edit: So, after using it for few days, the battery easily lasts for a day and half a per my usage which includes 1-1.5 hrs of music, one movie (1.5-2hrs) and one episode of Tv series (40-50mins). I end a with 40% battery left as per above usage.
",5,boAt Rockerz 255,positive
"One of the best budget sports Bluetooth headphones.
","The headphones are good, however the first one broke within one month, and boat replaced it, so kudos. Battery life is enough for one and half of my gym sessions, so I'd say between 5-6 hrs. Sound is clear with good depth.
",4,boAt Rockerz 255,positive
"Good at it's price.
","I bought these earphones on 23 March. My experience with these headphones is quite great. I got delivery on time, packing was great and sealed. So talking about functioning- it comes with the sound quality you will love. Bass is good enough to make your toes move. Mic is of good quality, Noise cancellation could have been even better but I think thats great for this price range. Works with dual phone and for for about 7-8m radius. Battery backup is good. Though it has 10 min charge system, full battery charging takes time. Buttons are working well. Build quality is superb. In short you can go for it if you are thinking to buy it.
",4,boAt Rockerz 255,positive
"Earphone cables are a bit lengthy that makes irritation
","In terms of price range it is a good earphone but not the best one. Sound quality is good, no issues with battery life and also feels very comfortable around your neck. Sometimes the connection was breaking while you are travelling by vehicle but it is not a big issue as it happens rarely. The only thing that I did not liked was the length of cable. It was really a bit long that can make some disturbance to you especially when you are not listening to music and casually hangs it from your neck. However the magnetic effect was working very fine.
",4,boAt Rockerz 255,positive
"Waste of money
","It is too bad..this ear phones could not completed even a month it has been only 20 days..and it's battery getting heated battery running time getting shorter by the time today it play only 1 hour ,next thing is it has been 5 days since it's one side earhone is not working..feeling cheated..
",1,boAt Rockerz 255,negative
"Battery issue 😤
","The bass and sound clearity is just awesome..very comfortable...call quality is also awesome...but the battery seems not ok.I got the product delivered yesterday after unboxing the product I noticed that the battery was 100% I have continuously used it for like 2-3 hours and the battery % came down to 80% again I have used it for like 2hours and the battery was still 80%.Day 2,In the morning I used it again for like 30 minutes suprisingly the battery was still 80% I was just amazed.Later I dint use it till the evening.Later on at 7 I used it continuously till 9 pm and yes the battery was still 80%.Here the real problem occurs after the my dinner I was relaxing in the balcony and was on a phone call suddenly I started getting beep sounds from my new boat 255 earphones and the I checked the battery% it was 20% I was like whaaattttt!! seriously!! Like 5mins before it was still 80% and out of nowhere suddenly it went down to 20% this really pissed me off and within 30 seconds battery down totally dead...horrible.I'll check it again tomorrow if I still the same problem persist I'll have to replace the item between the build quality, sound, call quality is really good.That's all for now amigos.
",5,boAt Rockerz 255,positive
"Not good for workouts
","The wire from the band to the ears is too long. Previously, I was using Skull Candy (which i lost so went in for a cheaper option). Skull Candy wire length was perfect. In Boats Rockerz, because the wire is too long, it keeps bumping against my neck when i run. The sound of the wire hitting the neck echoes in the ear pieces. Also, when i do floor exercises, the longish wire hangs uncomfortably around the neck. Sound quality and battery life is decent for the price, though. So if you plan to buy it for casual listening, go ahead. Wouldn't recommend for serious workouts.
",2,boAt Rockerz 255,negative
"Better than Boult
","Better in price range of 1399 best for use microphone quality is like wired headphone not only good for hearing music but also for talking with ur love ones at night.. best in all ur budget is under 1500 if ur budget is 4000 then go true wireless but in that u will miss the microphone quality u have to speak louder good for daily use bass is not best but okay type in this price range of wireless headphone neon and black colour is good all the three colours look awesome noise cancellation is not that much it fit properly u can use for gym heavy workout but due to neckband its little heavier and feeling of wired around neck as this is Bluetooth headset then not that much long lasting coz u have to charge the battery and one day after one year may the battery get damaged don't charge is frequently once its less than 20% than only charge this headphone battery backup of continues use in starting is 4 to 5hrs and at standby mode u can use it for 2days.. once u get this u will forget ur phone as whenever call will come u Don't have to run just use ur connected headset to receive the call . U can also pair smart watch and this headset together
",5,boAt Rockerz 255,positive
"Good but not the best
","I have bought this earphone once , replaced once and finally about to get refund after i returned it second time. Thanks Amazon and seller for initiating the refund. I am not a sound specialist but i am a good listener. My first lengthy review is below.Pros:1. BASS, really heavy bass.2. while listening to music, Double press invokes the last phone call . On the GO call. So when riding in bike it is useful to call my wife ;-)3. can use it when wearing a helmet.4. really good wires and sturdy. So life of the earphone is assured.5. Neck design if u like it.6. Easy to connect. Range/Connectivity is good even when there are many obstacles in between.Cons:1. Mic is at the end of the neck design i.e not closer to mouth. So the other person on the call can't hear properly. Mic picks up so many noise as no MEMS in this.2. Bass is not everything in music. Too much of bass. Even equalizer adjustments to reduce the bass does not help.3. Battery life is mediocre when compared to others.I have bought Mi basic bluetooth headset after returning this.Pros: Dynamic enjoyable bass even at higher volume, MIC noiseless,Cons: wire quality is poor. have to keep it carefully.CHEERS!!!
",3,boAt Rockerz 255,neutral
